input1	input2	input3	label
the	gone	Soon the bowl was gone.	Soon gone bowl was the.
cry	both	They both got angry and started to cry.	They cry got angry and started to both.
and	your	You have to be patient and wait for your birthday.	You have to be patient your wait for and birthday.
Amy	a	Amy had a wild dream.	a had Amy wild dream.
its	danced	The puppet waved its tiny arms and danced.	The puppet waved danced tiny arms and its.
see	big	One day, they see a big hill.	One day, they big a see hill.
hairy	was	John's sister was very hairy.	John's sister hairy very was.
was	on	It was sleeping on a mat.	It on sleeping was a mat.
and	nodded	Ben smiled and nodded.	Ben smiled nodded and.
is	That	That is my diary!	is That my diary!
was	very	She was very scared and didn't know what to do.	She very was scared and didn't know what to do.
leaves	a	They make a new palace with the leaves and branches.	They make leaves new palace with the a and branches.
the	outside	She loved to play outside in the park.	She loved to play the in outside park.
hand	The	The puppy touched her hand and she felt much better.	hand puppy touched her The and she felt much better.
was	so	He was so excited!	He so was excited!
She	sorry	She felt scared and sorry.	sorry felt scared and She.
and	fast	Lily sings loud and fast.	Lily sings loud fast and.
It	friend	It was her best friend, the old black lab.	friend was her best It, the old black lab.
a	lost	One day, Max went for a walk and got lost.	One day, Max went for lost walk and got a.
holding	her	Anna said, holding her dolls.	Anna said, her holding dolls.
fast	and	They turn on the fan and make it spin fast.	They turn on the fan fast make it spin and.
smiled	too	Lily smiled too.	Lily too smiled.
had	home	The children had to go home.	The children home to go had.
her	He	He said he did not need her.	her said he did not need He.
and	blocks	Lila and Ben like to play with blocks.	Lila blocks Ben like to play with and.
catch	couldn't	But try as they might, they couldn't catch it.	But try as they might, they catch couldn't it.
time	Once	Once upon a time there was a hot summer.	time upon a Once there was a hot summer.
and	explore	Jo was three years old and she loved to explore.	Jo was three years old explore she loved to and.
was	it	I thought it was good cheese.	I thought was it good cheese.
on	she	Suddenly, she spotted a pile of dust on the ground.	Suddenly, on spotted a pile of dust she the ground.
very	were	Lily and Tom were very happy.	Lily and Tom very were happy.
is	It	It is a dog.	is It a dog.
some	swings	They saw some kids playing on the swings and slides.	They saw swings kids playing on the some and slides.
sorry	Mom	Mom felt sorry for them.	sorry felt Mom for them.
happened	over	Her Mama rushed over to see what happened.	Her Mama rushed happened to see what over.
proud	very	Little Tommy was very proud.	Little Tommy was proud very.
delicate	cake	She says the cake is delicate.	She says the delicate is cake.
angel	It	It was an angel.	angel was an It.
wags	his	Spot barks and wags his tail.	Spot barks and his wags tail.
He	spinning	He felt so dizzy, like he was spinning around.	spinning felt so dizzy, like he was He around.
things	loved	She loved to eat sweet things, especially sugar.	She things to eat sweet loved, especially sugar.
air	the	Lily cheered and lifted her car in the air.	Lily cheered and lifted her car in air the.
named	Once	Once there was a little girl named Lucy.	named there was a little girl Once Lucy.
Ben's	Lily	She held Lily and Ben's hands and closed her eyes.	She held Ben's and Lily hands and closed her eyes.
salt	We	We need some salt.	salt need some We.
it	tastes	He also breaks a small piece and tastes it.	He also breaks a small piece and it tastes.
to	and	He broke it into pieces and gave some to Lily.	He broke it into pieces to gave some and Lily.
But	something	But then something magical happened!	something then But magical happened!
is	Ben	Ben is scared.	is Ben scared.
him	and	Lily and Tom hugged him back.	Lily him Tom hugged and back.
really	pizza	She was 3 years old and really loved pizza.	She was 3 years old and pizza loved really.
if	they	They asked their mom if they could open it.	They asked their mom they if could open it.
stopped	He	He stopped running and suddenly he had a brilliant idea.	stopped He running and suddenly he had a brilliant idea.
blocks	up	She picks up some blocks and dolls.	She picks blocks some up and dolls.
only	Instead	Instead, he only printed out things about marriage.	only, he Instead printed out things about marriage.
his	the	The bird told his friends about the root.	The bird told the friends about his root.
is	He	He is humble and kind.	is He humble and kind.
wags	dog	The dog wags his tail.	The wags dog his tail.
in	the	One day, they see a big dog in the park.	One day, they see a big dog the in park.
She	like	She felt like a princess.	like felt She a princess.
Lily	was	Lily was sad.	was Lily sad.
everywhere	kitchen	Under the bed, in the kitchen, everywhere.	Under the bed, in the everywhere, kitchen.
and	strong	She stayed strong and brave.	She stayed and strong brave.
shiny	Inside	Inside was a shiny pearl!	shiny was a Inside pearl!
Samantha	her	Her best friend, Samantha, presented her with a safari outfit!	Her best friend, her, presented Samantha with a safari outfit!
a	sand	Jill makes a castle with sand and sticks.	Jill makes sand castle with a and sticks.
upon	was	Once upon a time, there was a girl named Emma.	Once was a time, there upon a girl named Emma.
Lily	But	But Lily does not hear him.	Lily But does not hear him.
was	sad	He was angry and sad.	He sad angry and was.
I	don't	I don't care.	don't I care.
there	so	She was so happy to be there!	She was there happy to be so!
the	was	Mark was so excited to get the apple.	Mark the so excited to get was apple.
hot	was	The day was hot.	The day hot was.
She	mom	She is Max's mom.	mom is Max's She.
step	hole	He didn't see the big hole near the step.	He didn't see the big step near the hole.
is	fun	It is fun.	It fun is.
their	happy	They are happy with their picture.	They are their with happy picture.
too	scared	But he was too scared.	But he was scared too.
go	let's	Come on, let's go home.	Come on, go let's home.
while	something	She walked for a while and then she saw something.	She walked for a something and then she saw while.
agreed	puppy	Lily understood and agreed not to pet the puppy.	Lily understood and puppy not to pet the agreed.
hive	crawled	They flew and crawled to the hive.	They flew and hive to the crawled.
racers	big	After the race, the racers went to a big structure.	After the race, the big went to a racers structure.
and	went	So, Anne went outside and found a round wheel.	So, Anne and outside went found a round wheel.
It	was	It was a lion!	was It a lion!
wheel	the	Give me the wheel.	Give me wheel the.
and	does	She is selfish and does not want to share.	She is selfish does and not want to share.
Lily	She	She saw Lily with a guilty face.	Lily saw She with a guilty face.
through	laundry	Lea carefully sorted through the laundry.	Lea carefully sorted laundry the through.
€	â	Her dad beamed at her and said, â€œGood job, Lola.	Her dad beamed at her and said, €â œGood job, Lola.
Ben	look	Ben and Mia look at the red ball.	look and Mia Ben at the red ball.
nice	The	The dog was not nice and sometimes chased the kids.	nice dog was not The and sometimes chased the kids.
Tom	friends	Lila and Tom are friends.	Lila and friends are Tom.
friends	The	The friends were really scared.	friends The were really scared.
happy	feeling	Carl left the mailman's house feeling happy and dizzy.	Carl left the mailman's house happy feeling and dizzy.
The	truck	The truck made a loud noise.	truck The made a loud noise.
ball	some	She saw some dirt and grass stuck to the ball.	She saw ball dirt and grass stuck to the some.
three	was	Jake was three years old.	Jake three was years old.
fast	high	It was flying so high and so fast.	It was flying so fast and so high.
didn't	Tweety	But Tweety didn't want to give the meat back.	But didn't Tweety want to give the meat back.
wool	love	They love to play with the wool.	They wool to play with the love.
wanted	see	She wanted to see it again.	She see to wanted it again.
lived	they	And they lived happily ever after.	And lived they happily ever after.
Ben	play	Ben and Mia liked to play in the park.	play and Mia liked to Ben in the park.
walk	day	One day Lola decided to go on a walk.	One walk Lola decided to go on a day.
how	been	She told him how brilliant he had been.	She told him been brilliant he had how.
it	when	But when they got there, it was very messy!	But it they got there, when was very messy!
dresses	to	She loved to wear dresses with pretty patterns on them.	She loved dresses wear to with pretty patterns on them.
and	radishes	It kept jumping and nibbling at the radishes.	It kept jumping radishes nibbling at the and.
and	Everyone	Everyone was happy and cheerful.	and was happy Everyone cheerful.
Suddenly	sky	Suddenly, a clap of thunder shook the sky.	sky, a clap of thunder shook the Suddenly.
called	He	He smiled and called his mom.	called smiled and He his mom.
was	excited	When his mommy finally came, Timmy was very excited.	When his mommy finally came, Timmy excited very was.
As	big	As they walked, they saw a big, scary bear.	big they walked, they saw a As, scary bear.
Mary	home	When Mary was walking back home,she suddenly heard a voice.	When home was walking back Mary, she suddenly heard a voice.
It	made	It made a cloud of dust.	made It a cloud of dust.
a	change	It needs to change a little more.	It needs to a change little more.
the	They	They saw a big pile of coal near the fence.	the saw a big pile of coal near They fence.
Tom	it	Tom thinks about it.	it thinks about Tom.
didn't	know	Jack didn't know what to do.	Jack know didn't what to do.
Lily	was	Lily was excited.	was Lily excited.
says	He	He says he will get help.	says He he will get help.
were	was	She was very happy because her wings were so tight.	She were very happy because her wings was so tight.
not	anymore	It was not big anymore.	It was anymore big not.
not	would	She thought mom would not notice.	She thought mom not would notice.
are	Why	Why are you fighting?	are Why you fighting?
said	it	They said it was too hard.	They it said was too hard.
respect	my	You have to respect my privacy.	You have to my respect privacy.
not	Lily's	It is not Lily's chalk.	It is Lily's not chalk.
They	ball	They like their ball.	ball like their They.
too	musician	I am a musician too.	I am a too musician.
fake	made	She made a fake key and a real key.	She fake a made key and a real key.
change	got	Dolly the dough friend got warm and started to change.	Dolly the dough friend change warm and started to got.
was	excited	Everyone was excited to see it!	Everyone excited was to see it!
was	just	It was just perfect.	It just was perfect.
roof	The	The bird landed on the temple roof.	roof bird landed on the temple The.
his	He	He invited all his friends to join him.	his invited all He friends to join him.
him	did	She did not want to play with him.	She him not want to play with did.
was	hard	He thought it was boring and hard.	He thought it hard boring and was.
new	learned	Anna learned a lot of new words and facts.	Anna new a lot of learned words and facts.
hugged	and	She hugged him and scolded him.	She and him hugged scolded him.
one	happened	Then one day, something unexpected happened.	Then happened day, something unexpected one.
and	fun	It is fun and good for you.	It is and fun good for you.
children	good	You are good children.	You are children good.
smile	her	All the other animals welcomed her with a smile.	All the other animals welcomed smile with a her.
Tim	bird	Tim and the bird were very happy on their trip.	bird and the Tim were very happy on their trip.
hose	saw	They saw a hose and turned it on.	They hose a saw and turned it on.
give	And	And we can give some to uncle too.	give we can And some to uncle too.
together	playing	And they went back to playing together.	And they went back to together playing.
scared	dogs	Tweet was scared of dogs.	Tweet was dogs of scared.
was	sad	Sammy was feeling sad.	Sammy sad feeling was.
took	and	Max was happy and took the ball to play.	Max was happy took and the ball to play.
Millie	do	Millie didn't know what to do.	do didn't know what to Millie.
rainbow	big	They painted a big, beautiful rainbow together.	They painted a rainbow, beautiful big together.
nodded	Lily	Lily nodded and smiled.	nodded Lily and smiled.
shook	Lily	Lily shook her head.	shook Lily her head.
The	big	The dog is big and black.	big dog is The and black.
to	them	Toby couldn't wait to see what was inside them.	Toby couldn't wait them see what was inside to.
mouse	Once	Once upon a time, there was a tiny mouse.	mouse upon a time, there was a tiny Once.
succeed	they	At last, they succeed!	At last, succeed they!
disgusting	Alvin	Alvin tasted it anyway, but it was disgusting!	disgusting tasted it anyway, but it was Alvin!
into	walked	John walked into his bedroom.	John into walked his bedroom.
twins	Mia	Ben and Mia are twins.	Ben and twins are Mia.
are	You	You are very smart and cheerful.	are You very smart and cheerful.
a	of	She saw the fire and grabbed a bucket of water.	She saw the fire and grabbed of bucket a water.
at	Bella	Tommy looked at Bella.	Tommy looked Bella at.
it	But	But as she says it, she starts to giggle.	it as she says But, she starts to giggle.
The	was	The bird was scared and hurt.	was bird The scared and hurt.
a	learn	History is a story you can learn.	History is learn story you can a.
was	there	Once upon a time there was a rat.	Once upon a time was there a rat.
helps	him	She helps him rebuild his tower.	She him helps rebuild his tower.
his	He	He saw that his tent was broken!	his saw that He tent was broken!
thought	great	He thought it was great fun.	He great it was thought fun.
Mittens	smiled	Lily smiled and petted Mittens.	Lily Mittens and petted smiled.
place	it	They called it their secret place.	They called place their secret it.
pushed	pulled	She pulled it and pushed it, laughing and shouting.	She pushed it and pulled it, laughing and shouting.
of	full	It hopped around, feeling so shiny and full of energy.	It hopped around, feeling so shiny and of full energy.
shells	Rover	John and Rover collected stones and shells.	John and shells collected stones and Rover.
They	are	They are very sad.	are They very sad.
their	dirt	They pat the dirt with their hands.	They pat the their with dirt hands.
fast	is	It is fun and fast.	It fast fun and is.
sees	Ben	She sees Anna and Ben.	She Ben Anna and sees.
He	would	He knew the bird would be scared too.	would knew the bird He be scared too.
dog	are	You are a good dog.	You dog a good are.
They	together	They played fetch together and had lots of fun.	together played fetch They and had lots of fun.
Tom	hurt	Tom is hurt.	hurt is Tom.
his	flying	One day, he saw a bird flying outside his cave.	One day, he saw a bird his outside flying cave.
rabbit	happy	Tom was happy and ran after the rabbit.	Tom was rabbit and ran after the happy.
was	pretty	It was so pretty!	It pretty so was!
got	they	When they got to the ocean, Ollie saw something incredible.	When got they to the ocean, Ollie saw something incredible.
thought	a	The bear thought for a moment.	The bear a for thought moment.
named	Timmy	Once upon a time, there was a boy named Timmy.	Once upon a time, there was a boy Timmy named.
night	and	Every night, it glowed more and more.	Every and, it glowed more night more.
They	hold	They hold hands.	hold They hands.
from	is	The noise is from a car.	The noise from is a car.
day	they	One day, they have a show and tell.	One they, day have a show and tell.
liked	sticks	Will liked to collect sticks.	Will sticks to collect liked.
so	happy	She was so happy!	She was happy so!
and	She	She worked and worked until she was finished.	and worked She worked until she was finished.
her	could	So she asked her dad if she could keep it.	So she asked could dad if she her keep it.
a	park	One day, Lily went for a walk in the park.	One day, Lily went for park walk in the a.
in	me	Please put me in my box.	Please put in me my box.
and	important	This made them unique and very important.	This made them unique important very and.
jumps	on	He jumps on the chair.	He on jumps the chair.
again	never	Lily and Sam never saw each other again.	Lily and Sam again saw each other never.
has	frosting	It has a white frosting.	It frosting a white has.
They	wanted	They wanted to eat turkey for dinner.	wanted They to eat turkey for dinner.
wanted	door	They wanted to see what was behind the door.	They door to see what was behind the wanted.
ask	decided	So, Amy decided to ask her mom.	So, Amy ask to decided her mom.
It	wonderful	It felt wonderful.	wonderful felt It.
the	of	She grabbed some of them and closed the chest.	She grabbed some the them and closed of chest.
them	a	She decided to teach them a lesson.	She decided to teach a them lesson.
watched	fight	Jane stopped and watched them fight.	Jane stopped and fight them watched.
everything	trying	He was always trying to be the best at everything.	He was always everything to be the best at trying.
playing	in	Lily and Ben were playing in the garden.	Lily and Ben were in playing the garden.
joins	the	She joins Lila and Tom in the port.	She the Lila and Tom in joins port.
used	dog	The dog used the stick to reach the ball.	The used dog the stick to reach the ball.
He	was	He was bleeding and broken.	was He bleeding and broken.
it	It	It grew so much that it became a big tree.	it grew so much that It became a big tree.
was	Once	Once there was a yellow pistol.	was there Once a yellow pistol.
a	dad	After a few hours, John's dad finally fixed the leak.	After dad few hours, John's a finally fixed the leak.
too	late	But it is too late.	But it is late too.
She	hugs	She hugs it.	hugs She it.
Tom	friends	Tom and Lily were friends.	friends and Lily were Tom.
up	and	He climbs up the ladder and slides down.	He climbs and the ladder up slides down.
She	her	She cried on her bed.	her cried on She bed.
before	the	The tree looked the same as before.	The tree looked before same as the.
night	That	That night, Tim had a dream.	night That, Tim had a dream.
started	to	It started to shake and roar.	It to started shake and roar.
bright	in	The sun was shining bright in the sky.	The sun was shining in bright the sky.
their	waited	They ran to the slide and waited for their turn.	They ran to the slide and their for waited turn.
in	man	They saw a man who worked in the park.	They saw a in who worked man the park.
dodged	rocks	He dodged the sticks and the rocks.	He rocks the sticks and the dodged.
with	Lily	Lily was happy and played with it all day.	with was happy and played Lily it all day.
them	and	She scolded them and took away all their toys.	She scolded and them took away all their toys.
to	Bobo	Bobo was always ready to play and have fun.	to was always ready Bobo play and have fun.
and	the	They both pulled and tugged on the shell.	They both pulled the tugged on and shell.
She	and	She pulled and pulled.	and pulled She pulled.
an	had	They both had to pick an object.	They both an to pick had object.
was	him	He thought it was perfect for him.	He thought it him perfect for was.
broke	into	It broke into pieces.	It into broke pieces.
He	and	He thought and thought.	and thought He thought.
sees	the	Her mom sees the cookie.	Her mom the sees cookie.
she	One	One day, she met a friendly hippo.	she day, One met a friendly hippo.
and	smile	They smile and go back to the camera.	They and smile go back to the camera.
more	and	Balls, shoes, nets, cones, jerseys, and more.	Balls, shoes, nets, cones, jerseys, more and.
the	ice	Slowly, the ice melted more and more.	Slowly, ice the melted more and more.
to	scared	He was starting to feel scared.	He was starting scared feel to.
was	an	It was an alligator!	It an was alligator!
hold	could	It could not hold them.	It hold not could them.
an	bird	You are an ancient bird.	You are bird ancient an.
anymore	or	It couldn't fly or run anymore.	It couldn't fly anymore run or.
cookie	cutters	They press the cookie cutters into the rice.	They press the cutters cookie into the rice.
her	Her	Her mom still asked her to clean.	her mom still asked Her to clean.
found	crackers	She went inside and found some crackers and cheese.	She went inside and crackers some found and cheese.
then	First	First they swept the floors, then they washed the walls.	then they swept the floors, First they washed the walls.
else	anyone	He did not need anyone else.	He did not need else anyone.
while	the	They watched the leopard for a while.	They watched while leopard for a the.
do	understand	They do not understand.	They understand not do.
until	He	He kept counting until he was too tired.	until kept counting He he was too tired.
might	their	They ran and hit the ball with all their might.	They ran and hit the ball with all might their.
what	saw	Her big sister came and saw what happened.	Her big sister came and what saw happened.
their	They	They forget about their dogs.	their forget about They dogs.
to	with	Tim loved to play catch with his red ball.	Tim loved with play catch to his red ball.
They	wait	They can't wait.	wait can't They.
there	Once	Once there was a little girl named Sally.	there Once was a little girl named Sally.
again	nap	Now let's try to nap again.	Now let's try to again nap.
drive	bike	His Dad told Bobby to drive the bike.	His Dad told Bobby to bike the drive.
The	the	The frog and the bird played a game.	the frog and The bird played a game.
bike	heard	Mia heard Sam's cry and stopped her bike.	Mia bike Sam's cry and stopped her heard.
at	old	Donna saw an old lady at the ticket counter.	Donna saw an at lady old the ticket counter.
came	A	A man came running.	came man A running.
wants	puzzle	She wants to finish the puzzle.	She puzzle to finish the wants.
seemed	They	They seemed very happy.	seemed They very happy.
turns	enjoyed	They took turns with the coin and enjoyed it together.	They took enjoyed with the coin and turns it together.
was	cold	It was so cold that she shivered.	It cold so was that she shivered.
potato	is	It is called a potato.	It potato called a is.
mum	So	So Sarah and her mum started to plan the party.	mum Sarah and her So started to plan the party.
the	dog	A loud noise scares the dog.	A loud noise scares dog the.
walk	that	He thought that maybe a nice walk would help.	He thought walk maybe a nice that would help.
outside	back	He quickly ran back outside and found a puddle.	He quickly ran outside back and found a puddle.
climb	Anna	Anna agreed and helped him climb up.	climb agreed and helped him Anna up.
each	Sue	She gives Tom and Sue a slice each.	She gives Tom and each a slice Sue.
Tom	closed	Lily and Tom nodded and closed their eyes.	Lily and closed nodded and Tom their eyes.
day	One	One day, the car got very tired.	day One, the car got very tired.
and	Anna	Anna has a doll and Ben has a car.	and has a doll Anna Ben has a car.
The	dog	The dog was black and had sharp teeth.	dog The was black and had sharp teeth.
Mommy	some	Mommy handed the little boy some items from the basket.	some handed the little boy Mommy items from the basket.
Tom	scared	Tom was scared.	scared was Tom.
is	hiding	Maybe she is hiding somewhere.	Maybe she hiding is somewhere.
he	brilliant	But then he had a brilliant idea.	But then brilliant had a he idea.
They	round	They were round blocks and square blocks.	round were They blocks and square blocks.
move	Tom	Tom likes to move.	move likes to Tom.
mommy	She	She loved to help her mommy in the kitchen.	mommy loved to help her She in the kitchen.
day	forget	She would never forget this magical day.	She would never day this magical forget.
was	Lily	Lily was thirsty and wanted some water.	was Lily thirsty and wanted some water.
bath	Her	Her mom gave them a bath.	bath mom gave them a Her.
gone	bird	The bird was gone.	The gone was bird.
boy	Tim	Once there was a boy named Tim.	Once there was a Tim named boy.
friend	playing	One day, she was playing hide-and-seek with her friend, Timmy.	One day, she was friend hide-and-seek with her playing, Timmy.
had	they	She wished they had not forgotten.	She wished had they not forgotten.
Tom	grabbed	He grabbed Tom by the hair.	He Tom grabbed by the hair.
was	to	She was going to water the flowers.	She to going was water the flowers.
used	and	He loved the weird dictionary and used it every day!	He loved the weird dictionary used and it every day!
faces	She	She saw their sad faces.	faces saw their sad She.
did	do	He did not know what to do.	He do not know what to did.
her	The	The bear was friendly and smiled at her.	her bear was friendly and smiled at The.
like	the	Lily did not like the man.	Lily did not the like man.
bell	the	They laughed and took turns talking into the bell.	They laughed and took turns talking into bell the.
it	wear	I want to wear it in bed.	I want to it wear in bed.
It	and	It was clean and shiny.	and was clean It shiny.
game	garden	She went to a nearby garden and found a game.	She went to a nearby game and found a garden.
with	They	They played with the copper pot all day long.	with played They the copper pot all day long.
are	twins	Lily and Tom are twins.	Lily and Tom twins are.
to	tell	They liked to play and hug and tell jokes.	They liked tell play and hug and to jokes.
swim	but	The fish could not fly, but it could swim.	The fish could not fly, swim it could but.
mouse	little	He saw a little mouse named Molly.	He saw a mouse little named Molly.
Soon	calmness	Soon enough, Mia felt a calmness come over her.	calmness enough, Mia felt a Soon come over her.
the	off	He jumps off the fence and runs away.	He jumps the off fence and runs away.
was	wine	It was a big bottle of wine.	It wine a big bottle of was.
thank	He	He played a thank you song for the cat.	thank played a He you song for the cat.
build	heart	We can teach you how to build a heart.	We can teach you how to heart a build.
eat	But	But he was warned not to eat it.	eat he was warned not to But it.
Lily	idea	Lily had an idea.	idea had an Lily.
was	He	He was happy.	was He happy.
toys	loved	She loved to play outside with her toys.	She toys to play outside with her loved.
again	started	So Jake started to jog again.	So Jake again to jog started.
to	gave	She removed them and gave them to Ben.	She removed them and to them gave Ben.
sad	They	They felt sad.	sad felt They.
why	realized	Suddenly, he realized why.	Suddenly, he why realized.
herself	a	It showed Lily a different image of herself.	It showed Lily herself different image of a.
to	you	And you have to wait for dinner.	And to have you wait for dinner.
though	different	Today was different though.	Today was though different.
have	be	And you have to be careful with them.	And you be to have careful with them.
bent	tried	She bent down and tried to open the oyster.	She tried down and bent to open the oyster.
the	helped	They helped to load the branches.	They the to load helped branches.
over	very	Mommy watched over John as he slept, feeling very content.	Mommy watched very John as he slept, feeling over content.
gave	and	Then, he gave Lila and Ben their toys back.	Then, he and Lila gave Ben their toys back.
steep	was	But the hill was very steep.	But the hill steep very was.
The	was	The creature was so happy!	was creature The so happy!
boy	was	Once upon a time, there was a boy named Timmy.	Once upon a time, there boy a was named Timmy.
the	train	They take turns driving the train.	They take turns driving train the.
was	proud	He was proud.	He proud was.
the	talked	They talked and played together every day in the room.	They the and played together every day in talked room.
animals	They	They go back to their regular animals.	animals go back to their regular They.
did	He	He did not like it.	did He not like it.
scary	He	He looked scary and mean.	scary looked He and mean.
Thank	thank	Thank you, thank you!	thank you, Thank you!
was	Now	Now it was easier to fit the pieces together.	was it Now easier to fit the pieces together.
He	winter	He couldn't wait for the next winter adventure.	winter couldn't wait for the next He adventure.
are	He	He thinks they are toys.	are thinks they He toys.
ball	Ben	Sam kicks the ball to Ben.	Sam kicks the Ben to ball.
smiled	His	His mom smiled.	smiled mom His.
so	They	They were so pretty.	so were They pretty.
on	sees	She sees Tom on the chair.	She on Tom sees the chair.
day	seek	One day, they were playing hide and seek.	One seek, they were playing hide and day.
honey	love	I love honey.	I honey love.
girl	in	Mommy was in the car with her little girl, Emily.	Mommy was girl the car with her little in, Emily.
and	strong	They will make you healthy and strong.	They will make you healthy strong and.
happy	were	They were all excited and happy.	They happy all excited and were.
draw	to	Molly loved to draw!	Molly loved draw to!
had	a	Sue had a mysterious itch on her arm.	Sue a had mysterious itch on her arm.
held	She	She held Tommy in her arms and prayed.	held She Tommy in her arms and prayed.
delicious	It	It looked delicious.	delicious looked It.
was	When	When she looked closer, she saw it was a picture!	was she looked closer, she saw it When a picture!
other	wondered	They wondered what other mysteries the box had.	They other what wondered mysteries the box had.
house	mom	Timmy and his mom went back to their house.	Timmy and his house went back to their mom.
happy	and	They are happy and full.	They are and happy full.
this	remembered	She remembered this day and smiled.	She this remembered day and smiled.
Dad	and	Mum and Dad were very proud of Daisy.	Mum Dad and were very proud of Daisy.
plan	had	She had a plan.	She plan a had.
had	fun	He had so much fun!	He fun so much had!
sad	were	Jack and Sam were so sad.	Jack and Sam sad so were.
each	They	They look at each other and sigh.	each look at They other and sigh.
Lily	running	Lily said, running over to him.	running said, Lily over to him.
four	family	Once upon a time, there was a family of four.	Once upon a time, there was a four of family.
He	his	He does not like his hair.	his does not like He hair.
The	worked	The plan worked.	worked plan The.
ashamed	felt	Tim felt ashamed.	Tim ashamed felt.
happy	so	She was so happy.	She was happy so.
carried	a	She had a skull that she always carried around.	She had carried skull that she always a around.
and	happy	The bird and the mouse were happy.	The bird happy the mouse were and.
it	loved	Molly loved it!	Molly it loved!
mad	felt	Ben felt cold and mad.	Ben mad cold and felt.
big	The	The store is big and open.	big store is The and open.
But	did	But it did not.	did it But not.
a	volcano	Suddenly, a sound came from inside the volcano.	Suddenly, volcano sound came from inside the a.
obedient	Sam	Sam was always obedient and Jack was not.	obedient was always Sam and Jack was not.
ours	are	They are ours!	They ours are!
makes	She	She makes a line and a slash.	makes She a line and a slash.
make	They	They make new friends.	make They new friends.
used	bowls	They used pots and pans and spoons and bowls.	They bowls pots and pans and spoons and used.
The	is	The dog is big and strong.	is dog The big and strong.
pretend	cuddle	They cuddle together and pretend to sleep.	They pretend together and cuddle to sleep.
felt	He	He felt it throughout the temple.	felt He it throughout the temple.
That's	orange	That's my orange.	orange my That's.
squirrel	They	They never saw the mushroom or the squirrel again.	squirrel never saw the mushroom or the They again.
back	and	Molly and Sarah ran back inside.	Molly back Sarah ran and inside.
was	tightly	Timmy was scared and held onto his mom's hand tightly.	Timmy tightly scared and held onto his mom's hand was.
The	boy	The boy noticed the yellow bear and smiled.	boy The noticed the yellow bear and smiled.
the	She	She worked so hard that soon the winter became warmer.	the worked so hard that soon She winter became warmer.
a	It	It made a big splash as it hit the water.	a made It big splash as it hit the water.
not	Anna	Anna does not care.	not does Anna care.
they	started	But Jill said no, and they started to quarrel.	But Jill said no, and started they to quarrel.
was	very	The sky was very dark.	The sky very was dark.
You	my	You can play with my clothes.	my can play with You clothes.
first	on	Tom put them on first.	Tom put them first on.
each	tickled	They hopped and skipped and tickled each other.	They hopped and skipped and each tickled other.
but	harder	She tried harder, but still nothing.	She tried but, harder still nothing.
on	sits	He sits on the slide.	He on sits the slide.
He	tiger	He saw a big tiger there.	tiger saw a big He there.
asked	eye	He asked, with a twinkle in his eye.	He eye, with a twinkle in his asked.
together	Yes	Yes, we can finish the puzzle together.	together, we can finish the puzzle Yes.
a	good	One day, Anna has a good idea.	One day, Anna has good a idea.
sat	their	They all sat down and enjoyed their picnic together.	They all their down and enjoyed sat picnic together.
away	He	He walked away.	away walked He.
hug	sandwich	She gave them both a hug and a sandwich.	She gave them both a sandwich and a hug.
were	safe	They were safe.	They safe were.
a	day	One day, children went on a safari.	One a, children went on day safari.
and	cars	He sees the cars and the bikes.	He sees the and cars the bikes.
It	so	It was so cool!	so was It cool!
The	owner	The cat was safe and Max's owner was very happy.	owner cat was safe and Max's The was very happy.
remote	They	They forget about the remote.	remote forget about the They.
big	was	It was big enough for two.	It big was enough for two.
their	ball	They only had their ball.	They only had ball their.
never	seen	She had never seen anything like it before!	She had seen never anything like it before!
can	good	You can help us by being good and by praying.	You good help us by being can and by praying.
mom	They	They ask their mom.	mom ask their They.
She	plan	She went to her mom and told her the plan.	plan went to her mom and told her the She.
deer	smiled	Bear smiled and waved goodbye to the deer.	Bear deer and waved goodbye to the smiled.
birds	nice	Ravens are nice birds.	Ravens are birds nice.
very	felt	He felt very proud of himself.	He very felt proud of himself.
not	friends	They are not friends.	They are friends not.
would	of	He would pass by lots of houses.	He of pass by lots would houses.
and	It	It was very painful and Timmy started to cry.	and was very painful It Timmy started to cry.
Everybody	eating	Everybody was eating and having a good time.	eating was Everybody and having a good time.
The	laughed	The girl laughed and smiled.	laughed girl The and smiled.
Lily's	came	Lily's mom came over and saw what happened.	came mom Lily's over and saw what happened.
the	felt	As he walked to the mailbox, he felt something strange.	As he walked to felt mailbox, he the something strange.
Anna	was	Anna was excited.	was Anna excited.
He	happy	He was happy.	happy was He.
would	hoped	They hoped Jake would forgive them.	They would Jake hoped forgive them.
microphone	Timmy	Timmy loved to sing and talk into his microphone.	microphone loved to sing and talk into his Timmy.
She	was	She was very sad.	was She very sad.
not	You	You will not whistle.	not will You whistle.
poor	trapped	The poor rabbits were trapped in the rough cage.	The trapped rabbits were poor in the rough cage.
They	were	They were friendly and asked her what her name was.	were They friendly and asked her what her name was.
little	there	Once, there was a little bird.	Once, little was a there bird.
One	a	One day, Anna decided to make a tunnel cake.	a day, Anna decided to make One tunnel cake.
plastic	made	It was made of plastic.	It was plastic of made.
to	the	He wanted to release the dove.	He wanted the release to dove.
that	like	My dad has one like that.	My dad has one that like.
it	under	He put it under the chimney.	He put under it the chimney.
new	Every	Every time he shopped, he found something new and special.	new time he shopped, he found something Every and special.
