input1	input2	label
upon	Once upon a time, there was a girl named Emma.	Once a time, there was a girl named Emma.
does	But Lily does not hear him.	But Lily not hear him.
angry	He was angry and sad.	He was and sad.
I	I don't care.	don't care.
to	She was so happy to be there!	She was so happy be there!
was	Mark was so excited to get the apple.	Mark so excited to get the apple.
day	The day was hot.	The was hot.
mom	She is Max's mom.	She is Max's.
big	He didn't see the big hole near the step.	He didn't see the hole near the step.
fun	It is fun.	It is.
They	They are happy with their picture.	are happy with their picture.
But	But he was too scared.	he was too scared.
go	Come on, let's go home.	Come on, let's home.
a	She walked for a while and then she saw something.	She walked for while and then she saw something.
agreed	Lily understood and agreed not to pet the puppy.	Lily understood and not to pet the puppy.
to	They flew and crawled to the hive.	They flew and crawled the hive.
to	After the race, the racers went to a big structure.	After the race, the racers went a big structure.
wheel	So, Anne went outside and found a round wheel.	So, Anne went outside and found a round.
a	It was a lion!	It was lion!
wheel	Give me the wheel.	Give me the.
to	She is selfish and does not want to share.	She is selfish and does not want share.
saw	She saw Lily with a guilty face.	She Lily with a guilty face.
Lea	Lea carefully sorted through the laundry.	carefully sorted through the laundry.
œGood	Her dad beamed at her and said, â€œGood job, Lola.	Her dad beamed at her and said, â €job, Lola.
look	Ben and Mia look at the red ball.	Ben and Mia at the red ball.
not	The dog was not nice and sometimes chased the kids.	The dog was nice and sometimes chased the kids.
and	Lila and Tom are friends.	Lila Tom are friends.
The	The friends were really scared.	friends were really scared.
feeling	Carl left the mailman's house feeling happy and dizzy.	Carl left the mailman's house happy and dizzy.
truck	The truck made a loud noise.	The made a loud noise.
She	She saw some dirt and grass stuck to the ball.	saw some dirt and grass stuck to the ball.
was	Jake was three years old.	Jake three years old.
flying	It was flying so high and so fast.	It was so high and so fast.
But	But Tweety didn't want to give the meat back.	Tweety didn't want to give the meat back.
They	They love to play with the wool.	love to play with the wool.
see	She wanted to see it again.	She wanted to it again.
they	And they lived happily ever after.	And lived happily ever after.
and	Ben and Mia liked to play in the park.	Ben Mia liked to play in the park.
day	One day Lola decided to go on a walk.	One Lola decided to go on a walk.
him	She told him how brilliant he had been.	She told how brilliant he had been.
got	But when they got there, it was very messy!	But when they there, it was very messy!
dresses	She loved to wear dresses with pretty patterns on them.	She loved to wear with pretty patterns on them.
kept	It kept jumping and nibbling at the radishes.	It jumping and nibbling at the radishes.
cheerful	Everyone was happy and cheerful.	Everyone was happy and.
shook	Suddenly, a clap of thunder shook the sky.	Suddenly, a clap of thunder the sky.
called	He smiled and called his mom.	He smiled and his mom.
When	When his mommy finally came, Timmy was very excited.	his mommy finally came, Timmy was very excited.
a	As they walked, they saw a big, scary bear.	As they walked, they saw big, scary bear.
a	When Mary was walking back home,she suddenly heard a voice.	When Mary was walking back home, she suddenly heard voice.
a	It made a cloud of dust.	It made cloud of dust.
needs	It needs to change a little more.	It to change a little more.
They	They saw a big pile of coal near the fence.	saw a big pile of coal near the fence.
thinks	Tom thinks about it.	Tom about it.
know	Jack didn't know what to do.	Jack didn't what to do.
Lily	Lily was excited.	was excited.
he	He says he will get help.	He says will get help.
was	She was very happy because her wings were so tight.	She very happy because her wings were so tight.
big	It was not big anymore.	It was not anymore.
notice	She thought mom would not notice.	She thought mom would not.
Why	Why are you fighting?	are you fighting?
was	They said it was too hard.	They said it too hard.
privacy	You have to respect my privacy.	You have to respect my.
not	It is not Lily's chalk.	It is Lily's chalk.
their	They like their ball.	They like ball.
am	I am a musician too.	I a musician too.
She	She made a fake key and a real key.	made a fake key and a real key.
got	Dolly the dough friend got warm and started to change.	Dolly the dough friend warm and started to change.
Everyone	Everyone was excited to see it!	was excited to see it!
It	It was just perfect.	was just perfect.
the	The bird landed on the temple roof.	The bird landed on temple roof.
join	He invited all his friends to join him.	He invited all his friends to him.
She	She did not want to play with him.	did not want to play with him.
He	He thought it was boring and hard.	thought it was boring and hard.
and	Anna learned a lot of new words and facts.	Anna learned a lot of new words facts.
hugged	She hugged him and scolded him.	She him and scolded him.
one	Then one day, something unexpected happened.	Then day, something unexpected happened.
fun	It is fun and good for you.	It is and good for you.
are	You are good children.	You good children.
smile	All the other animals welcomed her with a smile.	All the other animals welcomed her with a.
the	Tim and the bird were very happy on their trip.	Tim and bird were very happy on their trip.
it	They saw a hose and turned it on.	They saw a hose and turned on.
to	And we can give some to uncle too.	And we can give some uncle too.
went	And they went back to playing together.	And they back to playing together.
Tweet	Tweet was scared of dogs.	was scared of dogs.
Sammy	Sammy was feeling sad.	was feeling sad.
to	Max was happy and took the ball to play.	Max was happy and took the ball play.
do	Millie didn't know what to do.	Millie didn't know what to.
a	They painted a big, beautiful rainbow together.	They painted big, beautiful rainbow together.
and	Lily nodded and smiled.	Lily nodded smiled.
shook	Lily shook her head.	Lily her head.
is	The dog is big and black.	The dog big and black.
them	Toby couldn't wait to see what was inside them.	Toby couldn't wait to see what was inside.
mouse	Once upon a time, there was a tiny mouse.	Once upon a time, there was a tiny.
succeed	At last, they succeed!	At last, they!
disgusting	Alvin tasted it anyway, but it was disgusting!	Alvin tasted it anyway, but it was!
his	John walked into his bedroom.	John walked into bedroom.
Ben	Ben and Mia are twins.	and Mia are twins.
and	You are very smart and cheerful.	You are very smart cheerful.
a	She saw the fire and grabbed a bucket of water.	She saw the fire and grabbed bucket of water.
Tommy	Tommy looked at Bella.	looked at Bella.
she	But as she says it, she starts to giggle.	But as says it, starts to giggle.
bird	The bird was scared and hurt.	The was scared and hurt.
is	History is a story you can learn.	History a story you can learn.
time	Once upon a time there was a rat.	Once upon a there was a rat.
rebuild	She helps him rebuild his tower.	She helps him his tower.
saw	He saw that his tent was broken!	He that his tent was broken!
He	He thought it was great fun.	thought it was great fun.
Mittens	Lily smiled and petted Mittens.	Lily smiled and petted.
They	They called it their secret place.	called it their secret place.
and	She pulled it and pushed it, laughing and shouting.	She pulled it pushed it, laughing shouting.
so	It hopped around, feeling so shiny and full of energy.	It hopped around, feeling shiny and full of energy.
collected	John and Rover collected stones and shells.	John and Rover stones and shells.
They	They are very sad.	are very sad.
pat	They pat the dirt with their hands.	They the dirt with their hands.
fast	It is fun and fast.	It is fun and.
Anna	She sees Anna and Ben.	She sees and Ben.
would	He knew the bird would be scared too.	He knew the bird be scared too.
a	You are a good dog.	You are good dog.
lots	They played fetch together and had lots of fun.	They played fetch together and had of fun.
hurt	Tom is hurt.	Tom is.
flying	One day, he saw a bird flying outside his cave.	One day, he saw a bird outside his cave.
happy	Tom was happy and ran after the rabbit.	Tom was and ran after the rabbit.
was	It was so pretty!	It so pretty!
incredible	When they got to the ocean, Ollie saw something incredible.	When they got to the ocean, Ollie saw something.
thought	The bear thought for a moment.	The bear for a moment.
boy	Once upon a time, there was a boy named Timmy.	Once upon a time, there was a named Timmy.
it	Every night, it glowed more and more.	Every night, glowed more and more.
They	They hold hands.	hold hands.
car	The noise is from a car.	The noise is from a.
and	One day, they have a show and tell.	One day, they have a show tell.
to	Will liked to collect sticks.	Will liked collect sticks.
She	She was so happy!	was so happy!
She	She worked and worked until she was finished.	worked and worked until she was finished.
it	So she asked her dad if she could keep it.	So she asked her dad if she could keep.
in	One day, Lily went for a walk in the park.	One day, Lily went for a walk the park.
my	Please put me in my box.	Please put me in box.
unique	This made them unique and very important.	This made them and very important.
jumps	He jumps on the chair.	He on the chair.
each	Lily and Sam never saw each other again.	Lily and Sam never saw other again.
frosting	It has a white frosting.	It has a white.
to	They wanted to eat turkey for dinner.	They wanted eat turkey for dinner.
what	They wanted to see what was behind the door.	They wanted to see was behind the door.
ask	So, Amy decided to ask her mom.	So, Amy decided to her mom.
wonderful	It felt wonderful.	It felt.
She	She grabbed some of them and closed the chest.	grabbed some of them and closed the chest.
a	She decided to teach them a lesson.	She decided to teach them lesson.
them	Jane stopped and watched them fight.	Jane stopped and watched fight.
the	He was always trying to be the best at everything.	He was always trying to be best at everything.
in	Lily and Ben were playing in the garden.	Lily and Ben were playing the garden.
joins	She joins Lila and Tom in the port.	She Lila and Tom in the port.
reach	The dog used the stick to reach the ball.	The dog used the stick to the ball.
broken	He was bleeding and broken.	He was bleeding and.
It	It grew so much that it became a big tree.	grew so much that it became a big tree.
pistol	Once there was a yellow pistol.	Once there was a yellow.
leak	After a few hours, John's dad finally fixed the leak.	After a few hours, John's dad finally fixed the.
is	But it is too late.	But it too late.
it	She hugs it.	She hugs.
Tom	Tom and Lily were friends.	and Lily were friends.
ladder	He climbs up the ladder and slides down.	He climbs up the and slides down.
cried	She cried on her bed.	She on her bed.
looked	The tree looked the same as before.	The tree the same as before.
That	That night, Tim had a dream.	night, Tim had a dream.
roar	It started to shake and roar.	It started to shake and.
sun	The sun was shining bright in the sky.	The was shining bright in the sky.
the	They ran to the slide and waited for their turn.	They ran to slide and waited for their turn.
in	They saw a man who worked in the park.	They saw a man who worked the park.
dodged	He dodged the sticks and the rocks.	He the sticks and the rocks.
and	Lily was happy and played with it all day.	Lily was happy played with it all day.
She	She scolded them and took away all their toys.	scolded them and took away all their toys.
and	Bobo was always ready to play and have fun.	Bobo was always ready to play have fun.
pulled	They both pulled and tugged on the shell.	They both and tugged on the shell.
and	She pulled and pulled.	She pulled pulled.
object	They both had to pick an object.	They both had to pick an.
it	He thought it was perfect for him.	He thought was perfect for him.
broke	It broke into pieces.	It into pieces.
He	He thought and thought.	thought and thought.
Her	Her mom sees the cookie.	mom sees the cookie.
a	One day, she met a friendly hippo.	One day, she met friendly hippo.
to	They smile and go back to the camera.	They smile and go back the camera.
nets	Balls, shoes, nets, cones, jerseys, and more.	Balls, shoes,, cones, jerseys, and more.
and	Slowly, the ice melted more and more.	Slowly, the ice melted more more.
feel	He was starting to feel scared.	He was starting to scared.
was	It was an alligator!	It an alligator!
hold	It could not hold them.	It could not them.
an	You are an ancient bird.	You are ancient bird.
run	It couldn't fly or run anymore.	It couldn't fly or anymore.
press	They press the cookie cutters into the rice.	They the cookie cutters into the rice.
her	Her mom still asked her to clean.	Her mom still asked to clean.
went	She went inside and found some crackers and cheese.	She inside and found some crackers and cheese.
they	First they swept the floors, then they washed the walls.	First swept the floors, then washed the walls.
else	He did not need anyone else.	He did not need anyone.
watched	They watched the leopard for a while.	They the leopard for a while.
understand	They do not understand.	They do not.
until	He kept counting until he was too tired.	He kept counting he was too tired.
ball	They ran and hit the ball with all their might.	They ran and hit the with all their might.
sister	Her big sister came and saw what happened.	Her big came and saw what happened.
their	They forget about their dogs.	They forget about dogs.
loved	Tim loved to play catch with his red ball.	Tim to play catch with his red ball.
They	They can't wait.	can't wait.
Once	Once there was a little girl named Sally.	there was a little girl named Sally.
again	Now let's try to nap again.	Now let's try to nap.
the	His Dad told Bobby to drive the bike.	His Dad told Bobby to drive bike.
played	The frog and the bird played a game.	The frog and the bird a game.
bike	Mia heard Sam's cry and stopped her bike.	Mia heard Sam's cry and stopped her.
saw	Donna saw an old lady at the ticket counter.	Donna an old lady at the ticket counter.
A	A man came running.	man came running.
to	She wants to finish the puzzle.	She wants finish the puzzle.
They	They seemed very happy.	seemed very happy.
and	They took turns with the coin and enjoyed it together.	They took turns with the coin enjoyed it together.
so	It was so cold that she shivered.	It was cold that she shivered.
potato	It is called a potato.	It is called a.
started	So Sarah and her mum started to plan the party.	So Sarah and her mum to plan the party.
scares	A loud noise scares the dog.	A loud noise the dog.
maybe	He thought that maybe a nice walk would help.	He thought that a nice walk would help.
found	He quickly ran back outside and found a puddle.	He quickly ran back outside and a puddle.
him	Anna agreed and helped him climb up.	Anna agreed and helped climb up.
slice	She gives Tom and Sue a slice each.	She gives Tom and Sue a each.
closed	Lily and Tom nodded and closed their eyes.	Lily and Tom nodded and their eyes.
day	One day, the car got very tired.	One, the car got very tired.
car	Anna has a doll and Ben has a car.	Anna has a doll and Ben has a.
dog	The dog was black and had sharp teeth.	The was black and had sharp teeth.
handed	Mommy handed the little boy some items from the basket.	Mommy the little boy some items from the basket.
was	Tom was scared.	Tom scared.
Maybe	Maybe she is hiding somewhere.	she is hiding somewhere.
idea	But then he had a brilliant idea.	But then he had a brilliant.
and	They were round blocks and square blocks.	They were round blocks square blocks.
to	Tom likes to move.	Tom likes move.
help	She loved to help her mommy in the kitchen.	She loved to her mommy in the kitchen.
forget	She would never forget this magical day.	She would never this magical day.
water	Lily was thirsty and wanted some water.	Lily was thirsty and wanted some.
Her	Her mom gave them a bath.	mom gave them a bath.
was	The bird was gone.	The bird gone.
named	Once there was a boy named Tim.	Once there was a boy Tim.
her	One day, she was playing hide-and-seek with her friend, Timmy.	One day, she was playing hide-and-seek with friend, Timmy.
wished	She wished they had not forgotten.	She they had not forgotten.
Tom	He grabbed Tom by the hair.	He grabbed by the hair.
going	She was going to water the flowers.	She was to water the flowers.
He	He loved the weird dictionary and used it every day!	loved the weird dictionary and used it every day!
sad	She saw their sad faces.	She saw their faces.
what	He did not know what to do.	He did not know to do.
at	The bear was friendly and smiled at her.	The bear was friendly and smiled her.
did	Lily did not like the man.	Lily not like the man.
the	They laughed and took turns talking into the bell.	They laughed and took turns talking into bell.
it	I want to wear it in bed.	I want to wear in bed.
It	It was clean and shiny.	was clean and shiny.
She	She went to a nearby garden and found a game.	went to a nearby garden and found a game.
the	They played with the copper pot all day long.	They played with copper pot all day long.
Lily	Lily and Tom are twins.	and Tom are twins.
play	They liked to play and hug and tell jokes.	They liked to and hug and tell jokes.
could	The fish could not fly, but it could swim.	The fish not fly, but it swim.
He	He saw a little mouse named Molly.	saw a little mouse named Molly.
a	Soon enough, Mia felt a calmness come over her.	Soon enough, Mia felt calmness come over her.
and	He jumps off the fence and runs away.	He jumps off the fence runs away.
wine	It was a big bottle of wine.	It was a big bottle of.
the	He played a thank you song for the cat.	He played a thank you song for cat.
teach	We can teach you how to build a heart.	We can you how to build a heart.
warned	But he was warned not to eat it.	But he was not to eat it.
idea	Lily had an idea.	Lily had an.
He	He was happy.	was happy.
her	She loved to play outside with her toys.	She loved to play outside with toys.
again	So Jake started to jog again.	So Jake started to jog.
Ben	She removed them and gave them to Ben.	She removed them and gave them to.
sad	They felt sad.	They felt.
Suddenly	Suddenly, he realized why.	, he realized why.
herself	It showed Lily a different image of herself.	It showed Lily a different image of.
wait	And you have to wait for dinner.	And you have to for dinner.
was	Today was different though.	Today different though.
you	And you have to be careful with them.	And have to be careful with them.
to	She bent down and tried to open the oyster.	She bent down and tried open the oyster.
to	They helped to load the branches.	They helped load the branches.
as	Mommy watched over John as he slept, feeling very content.	Mommy watched over John he slept, feeling very content.
their	Then, he gave Lila and Ben their toys back.	Then, he gave Lila and Ben toys back.
hill	But the hill was very steep.	But the was very steep.
creature	The creature was so happy!	The was so happy!
Once	Once upon a time, there was a boy named Timmy.	upon a time, there was a boy named Timmy.
They	They take turns driving the train.	take turns driving the train.
He	He was proud.	was proud.
together	They talked and played together every day in the room.	They talked and played every day in the room.
back	They go back to their regular animals.	They go to their regular animals.
like	He did not like it.	He did not it.
looked	He looked scary and mean.	He scary and mean.
thank	Thank you, thank you!	Thank you, you!
Now	Now it was easier to fit the pieces together.	it was easier to fit the pieces together.
winter	He couldn't wait for the next winter adventure.	He couldn't wait for the next adventure.
thinks	He thinks they are toys.	He they are toys.
Ben	Sam kicks the ball to Ben.	Sam kicks the ball to.
mom	His mom smiled.	His smiled.
so	They were so pretty.	They were pretty.
chair	She sees Tom on the chair.	She sees Tom on the.
were	One day, they were playing hide and seek.	One day, they playing hide and seek.
love	I love honey.	I honey.
Emily	Mommy was in the car with her little girl, Emily.	Mommy was in the car with her little girl,.
will	They will make you healthy and strong.	They make you healthy and strong.
They	They were all excited and happy.	were all excited and happy.
Molly	Molly loved to draw!	loved to draw!
Sue	Sue had a mysterious itch on her arm.	had a mysterious itch on her arm.
prayed	She held Tommy in her arms and prayed.	She held Tommy in her arms and.
looked	It looked delicious.	It delicious.
was	When she looked closer, she saw it was a picture!	When she looked closer, she saw it a picture!
They	They wondered what other mysteries the box had.	wondered what other mysteries the box had.
back	Timmy and his mom went back to their house.	Timmy and his mom went to their house.
happy	They are happy and full.	They are and full.
smiled	She remembered this day and smiled.	She remembered this day and.
of	Mum and Dad were very proud of Daisy.	Mum and Dad were very proud Daisy.
plan	She had a plan.	She had a.
fun	He had so much fun!	He had so much!
Jack	Jack and Sam were so sad.	and Sam were so sad.
They	They look at each other and sigh.	look at each other and sigh.
Lily	Lily said, running over to him.	said, running over to him.
family	Once upon a time, there was a family of four.	Once upon a time, there was a of four.
does	He does not like his hair.	He not like his hair.
The	The plan worked.	plan worked.
felt	Tim felt ashamed.	Tim ashamed.
She	She was so happy.	was so happy.
always	She had a skull that she always carried around.	She had a skull that she carried around.
happy	The bird and the mouse were happy.	The bird and the mouse were.
loved	Molly loved it!	Molly it!
felt	Ben felt cold and mad.	Ben cold and mad.
The	The store is big and open.	store is big and open.
not	But it did not.	But it did.
a	Suddenly, a sound came from inside the volcano.	Suddenly, sound came from inside the volcano.
and	Sam was always obedient and Jack was not.	Sam was always obedient Jack was not.
ours	They are ours!	They are!
line	She makes a line and a slash.	She makes a and a slash.
make	They make new friends.	They new friends.
used	They used pots and pans and spoons and bowls.	They pots and pans and spoons and bowls.
The	The dog is big and strong.	dog is big and strong.
together	They cuddle together and pretend to sleep.	They cuddle and pretend to sleep.
throughout	He felt it throughout the temple.	He felt it the temple.
That's	That's my orange.	my orange.
They	They never saw the mushroom or the squirrel again.	never saw the mushroom or the squirrel again.
Sarah	Molly and Sarah ran back inside.	Molly and ran back inside.
was	Timmy was scared and held onto his mom's hand tightly.	Timmy scared and held onto his mom's hand tightly.
and	The boy noticed the yellow bear and smiled.	The boy noticed the yellow bear smiled.
warmer	She worked so hard that soon the winter became warmer.	She worked so hard that soon the winter became.
big	It made a big splash as it hit the water.	It made a splash as it hit the water.
not	Anna does not care.	Anna does care.
Jill	But Jill said no, and they started to quarrel.	But said no, and they started to quarrel.
was	The sky was very dark.	The sky very dark.
with	You can play with my clothes.	You can play my clothes.
put	Tom put them on first.	Tom them on first.
other	They hopped and skipped and tickled each other.	They hopped and skipped and tickled each.
still	She tried harder, but still nothing.	She tried harder, but nothing.
sits	He sits on the slide.	He on the slide.
He	He saw a big tiger there.	saw a big tiger there.
in	He asked, with a twinkle in his eye.	He asked, with a twinkle his eye.
together	Yes, we can finish the puzzle together.	Yes, we can finish the puzzle.
good	One day, Anna has a good idea.	One day, Anna has a idea.
together	They all sat down and enjoyed their picnic together.	They all sat down and enjoyed their picnic.
walked	He walked away.	He away.
She	She gave them both a hug and a sandwich.	gave them both a hug and a sandwich.
were	They were safe.	They safe.
a	One day, children went on a safari.	One day, children went on safari.
and	He sees the cars and the bikes.	He sees the cars the bikes.
cool	It was so cool!	It was so!
very	The cat was safe and Max's owner was very happy.	The cat was safe and Max's owner was happy.
the	They forget about the remote.	They forget about remote.
two	It was big enough for two.	It was big enough for.
their	They only had their ball.	They only had ball.
She	She had never seen anything like it before!	had never seen anything like it before!
You	You can help us by being good and by praying.	can help us by being good and by praying.
ask	They ask their mom.	They their mom.
She	She went to her mom and told her the plan.	went to her mom and told her the plan.
deer	Bear smiled and waved goodbye to the deer.	Bear smiled and waved goodbye to the.
birds	Ravens are nice birds.	Ravens are nice.
He	He felt very proud of himself.	felt very proud of himself.
friends	They are not friends.	They are not.
lots	He would pass by lots of houses.	He would pass by of houses.
cry	It was very painful and Timmy started to cry.	It was very painful and Timmy started to.
good	Everybody was eating and having a good time.	Everybody was eating and having a time.
girl	The girl laughed and smiled.	The laughed and smiled.
mom	Lily's mom came over and saw what happened.	Lily's came over and saw what happened.
walked	As he walked to the mailbox, he felt something strange.	As he to the mailbox, he felt something strange.
was	Anna was excited.	Anna excited.
happy	He was happy.	He was.
Jake	They hoped Jake would forgive them.	They hoped would forgive them.
sing	Timmy loved to sing and talk into his microphone.	Timmy loved to and talk into his microphone.
sad	She was very sad.	She was very.
will	You will not whistle.	You not whistle.
The	The poor rabbits were trapped in the rough cage.	poor rabbits were trapped in the rough cage.
friendly	They were friendly and asked her what her name was.	They were and asked her what her name was.
a	Once, there was a little bird.	Once, there was little bird.
tunnel	One day, Anna decided to make a tunnel cake.	One day, Anna decided to make a cake.
was	It was made of plastic.	It made of plastic.
dove	He wanted to release the dove.	He wanted to release the.
like	My dad has one like that.	My dad has one that.
chimney	He put it under the chimney.	He put it under the.
time	Every time he shopped, he found something new and special.	Every he shopped, he found something new and special.
to	The car driver wanted to take a look at it.	The car driver wanted take a look at it.
girl	The girl was worried, but her dad wasn't worried.	The was worried, but her dad wasn't worried.
mushrooms	Some mushrooms are good, but some are bad.	Some are good, but some are bad.
running	They all came running and were very excited.	They all came and were very excited.
laugh	They liked to run and jump and laugh.	They liked to run and jump and.
One	One day, she made some strips of paper.	day, she made some strips of paper.
They	They jogged together, buzzing with energy.	jogged together, buzzing with energy.
she	But then, she realized she was lost.	But then, realized was lost.
Lily	Lily and Ben were playing in the park.	and Ben were playing in the park.
smile	Ben and Mia stop crying and smile.	Ben and Mia stop crying and.
a	Once there was a monkey named Tom.	Once there was monkey named Tom.
book	She looked for another book that she liked.	She looked for another that she liked.
left	The monster smiled and waved as she left.	The monster smiled and waved as she.
to	Lily and Ben did not know what to do.	Lily and Ben did not know what do.
wanted	She tells him that the dog just wanted to play.	She tells him that the dog just to play.
She	She saw them fighting over the book.	saw them fighting over the book.
fly	Molly said she wanted to fly.	Molly said she wanted to.
agreed	And everyone agreed.	And everyone.
little	It belonged to a little boy named Jack.	It belonged to a boy named Jack.
After	After a while, Lily got tired and wanted to rest.	a while, Lily got tired and wanted to rest.
found	I found a match!	I a match!
together	They all sang songs together.	They all sang songs.
you	I was not nice to you.	I was not nice to.
himself	Peter smiled too; he felt proud of himself.	Peter smiled too; he felt proud of.
her	He takes a picture of her with his toy camera.	He takes a picture of with his toy camera.
all	He could feel the cool, silver water all around him.	He could feel the cool, silver water around him.
park	One day, she went to the park with her mommy.	One day, she went to the with her mommy.
He	He came back from the market.	came back from the market.
Lily	Lily was sad.	was sad.
a	They learned a hard lesson that day.	They learned hard lesson that day.
truck	The truck is very loud and fast.	The is very loud and fast.
and	One day, Tom and Mandy were walking through the forest.	One day, Tom Mandy were walking through the forest.
and	Her mom said yes and she was really excited.	Her mom said yes she was really excited.
hug	Her daughter ran to her with a big hug.	Her daughter ran to her with a big.
They	They played and had fun.	played and had fun.
Once	Once upon a time, there was a person.	upon a time, there was a person.
of	One day the kangaroo found a box of treats.	One day the kangaroo found a box treats.
his	Tom stopped his jog and was scared.	Tom stopped jog and was scared.
black	Once upon a time there was a black cow.	Once upon a time there was a cow.
sees	She sees Ben and his fire truck.	She Ben and his fire truck.
yellow	The flowers are pink and yellow.	The flowers are pink and.
want	He did not want to give them back.	He did not to give them back.
He	He grabbed her flute and ran away.	grabbed her flute and ran away.
play	I want to play.	I want to.
other	Tom did not like to play with the other animals.	Tom did not like to play with the animals.
coming	He saw a big dog coming towards him.	He saw a big dog towards him.
something	So he looked around for something else.	So he looked around for else.
Lily	Lily loved to paint with her bright colors.	loved to paint with her bright colors.
cookies	Her mom was in the kitchen, making cookies.	Her mom was in the kitchen, making.
wonders	She wonders what lives in the hole.	She what lives in the hole.
laughed	But her sister only laughed.	But her sister only.
away	But they also wanted to run away.	But they also wanted to run.
named	Once upon a time, there was a girl named Lily.	Once upon a time, there was a girl Lily.
curious	She was also very curious.	She was also very.
can	The fish said â€œI can help you escape!	The fish said â €œI help you escape!
who	Sam and Lily were friends who liked to play outside.	Sam and Lily were friends liked to play outside.
Her	Her grandma had made cookies that smelled so good.	grandma had made cookies that smelled so good.
to	The brave little girl smiled to herself.	The brave little girl smiled herself.
He	He went to a restaurant and asked for the menu.	went to a restaurant and asked for the menu.
But	But be careful.	be careful.
things	Ben likes modern things too.	Ben likes modern too.
friend	She saw her friend, Tom.	She saw her, Tom.
lots	They played together every day and had lots of fun.	They played together every day and had of fun.
Tim	Tim and Kim are scared.	and Kim are scared.
the	She did not like the car.	She did not like car.
They	They both wanted the elephant.	both wanted the elephant.
and	Anna and Ben are sad and angry.	Anna Ben are sad angry.
barking	The dog was barking and wagging its tail.	The dog was and wagging its tail.
He	He is surprised and worried.	is surprised and worried.
sad	They felt sad and wished they had not traded.	They felt and wished they had not traded.
everyone	He worked hard to make the best smiles for everyone.	He worked hard to make the best smiles for.
enormous	And that's how the small kiss made an enormous difference.	And that's how the small kiss made an difference.
red	It was red and round.	It was and round.
They	They held hands and climbed up the branch.	held hands and climbed up the branch.
the	He heard the door open and his sister came home.	He heard door open and his sister came home.
and	He picked up his shovel and hit the castle.	He picked up his shovel hit the castle.
peach	She did not know which fruit was a peach.	She did not know which fruit was a.
skin	I did not have a drum skin.	I did not have a drum.
cared	She was very gentle and cared for him.	She was very gentle and for him.
they	Then they decided to play catch one more time.	Then decided to play catch one more time.
are	She wants to pick one, but they are too high.	She wants to pick one, but they too high.
in	She sprayed the can all around the kitchen in circles.	She sprayed the can all around the kitchen circles.
big	Mia saw a big hill with a lot of flowers.	Mia saw a hill with a lot of flowers.
arrow	One day, he found a bow and arrow.	One day, he found a bow and.
that	His friends thought that was a great idea.	His friends thought was a great idea.
Lily	He pushes Lily away.	He pushes away.
Lily	Lily and Ben hug each other.	and Ben hug each other.
He	He couldn't believe how wonderful it smelled.	couldn't believe how wonderful it smelled.
was	Jane was happy that her cooler was safe.	Jane happy that her cooler safe.
was	Timmy was nervous, but he said yes.	Timmy nervous, but he said yes.
When	When Fluffy found Sue, she would meow loudly.	Fluffy found Sue, she would meow loudly.
bad	Tom and Mia felt bad.	Tom and Mia felt.
the	She said the bear was bad and dangerous.	She said bear was bad and dangerous.
know	He did not know who it was.	He did not who it was.
a	But his favorite thing to make was a little igloo.	But his favorite thing to make was little igloo.
learned	They learned a lesson.	They a lesson.
it	Finally, Uncle Barry made it across town.	Finally, Uncle Barry made across town.
laughs	He feels the wind on his face and laughs.	He feels the wind on his face and.
Some	Some children had a ball and others had a kite.	children had a ball and others had a kite.
recording	He was recording the movie for a good reason.	He was the movie for a good reason.
the	Lily's mom came into the room and saw what happened.	Lily's mom came into room and saw what happened.
didn't	But Lily didn't listen and kept chasing the butterfly.	But Lily listen and kept chasing the butterfly.
was	Once there was a caterpillar who wanted to measure things.	Once there a caterpillar who wanted to measure things.
it	She was very happy with it.	She was very happy with.
was	Once there was a fine little girl named Sarah.	Once there a fine little girl named Sarah.
it	Suddenly, it broke and the boy fell off.	Suddenly, broke and the boy fell off.
very	The grandma was very happy and thanked the store owner.	The grandma was happy and thanked the store owner.
behind	The swan was shy and hid behind some reeds.	The swan was shy and hid some reeds.
a	Then, he got a bright idea.	Then, he got bright idea.
