input1	input2	input3	label
The	topic	The puppet waved its tiny arms and danced.	topic puppet waved its tiny arms and danced.
day	common	One day, they see a big hill.	One common, they see a big hill.
sister	income	John's sister was very hairy.	John's income was very hairy.
It	possible	It was sleeping on a mat.	possible was sleeping on a mat.
and	any	Ben smiled and nodded.	Ben smiled any nodded.
That	cash	That is my diary!	cash is my diary!
scared	get	She was very scared and didn't know what to do.	She was very get and didn't know what to do.
new	also	They make a new palace with the leaves and branches.	They make a also palace with the leaves and branches.
She	shopping	She loved to play outside in the park.	shopping loved to play outside in the park.
felt	game	The puppy touched her hand and she felt much better.	The puppy touched her hand and she game much better.
excited	close	He was so excited!	He was so close!
scared	products	She felt scared and sorry.	She felt products and sorry.
fast	feedback	Lily sings loud and fast.	Lily sings loud and feedback.
old	access	It was her best friend, the old black lab.	It was her best friend, the access black lab.
One	side	One day, Max went for a walk and got lost.	side day, Max went for a walk and got lost.
her	designed	Anna said, holding her dolls.	Anna said, holding designed dolls.
and	name	They turn on the fan and make it spin fast.	They turn on the fan name make it spin fast.
Lily	minutes	Lily smiled too.	minutes smiled too.
The	five	The children had to go home.	five children had to go home.
not	materials	He said he did not need her.	He said he did materials need her.
Lila	meeting	Lila and Ben like to play with blocks.	meeting and Ben like to play with blocks.
try	god	But try as they might, they couldn't catch it.	But god as they might, they couldn't catch it.
hot	support	Once upon a time there was a hot summer.	Once upon a time there was a support summer.
Jo	wireless	Jo was three years old and she loved to explore.	wireless was three years old and she loved to explore.
it	old	I thought it was good cheese.	I thought old was good cheese.
dust	comment	Suddenly, she spotted a pile of dust on the ground.	Suddenly, she spotted a pile of comment on the ground.
Tom	without	Lily and Tom were very happy.	Lily and without were very happy.
is	links	It is a dog.	It links a dog.
the	news	They saw some kids playing on the swings and slides.	They saw some kids playing on news swings and slides.
them	section	Mom felt sorry for them.	Mom felt sorry for section.
happened	select	Her Mama rushed over to see what happened.	Her Mama rushed over to see what select.
Tommy	over	Little Tommy was very proud.	Little over was very proud.
is	against	She says the cake is delicate.	She says the cake against delicate.
angel	reading	It was an angel.	It was an reading.
barks	working	Spot barks and wags his tail.	Spot working and wags his tail.
He	often	He felt so dizzy, like he was spinning around.	often felt so dizzy, like he was spinning around.
sweet	second	She loved to eat sweet things, especially sugar.	She loved to eat second things, especially sugar.
Lily	memory	Lily cheered and lifted her car in the air.	memory cheered and lifted her car in the air.
a	feedback	Once there was a little girl named Lucy.	Once there was feedback little girl named Lucy.
held	present	She held Lily and Ben's hands and closed her eyes.	She present Lily and Ben's hands and closed her eyes.
need	well	We need some salt.	We well some salt.
it	come	He also breaks a small piece and tastes it.	He also breaks a small piece and tastes come.
Lily	rss	He broke it into pieces and gave some to Lily.	He broke it into pieces and gave some to rss.
then	must	But then something magical happened!	But must something magical happened!
Ben	company	Ben is scared.	company is scared.
Tom	media	Lily and Tom hugged him back.	Lily and media hugged him back.
was	visit	She was 3 years old and really loved pizza.	She visit 3 years old and really loved pizza.
they	further	They asked their mom if they could open it.	They asked their mom if further could open it.
brilliant	employment	He stopped running and suddenly he had a brilliant idea.	He stopped running and suddenly he had a employment idea.
and	call	She picks up some blocks and dolls.	She picks up some blocks call dolls.
marriage	south	Instead, he only printed out things about marriage.	Instead, he only printed out things about south.
about	these	The bird told his friends about the root.	The bird told his friends these the root.
is	help	He is humble and kind.	He help humble and kind.
his	network	The dog wags his tail.	The dog wags network tail.
they	magazine	One day, they see a big dog in the park.	One day, magazine see a big dog in the park.
She	daily	She felt like a princess.	daily felt like a princess.
was	education	Lily was sad.	Lily education sad.
the	nature	Under the bed, in the kitchen, everywhere.	Under nature bed, in nature kitchen, everywhere.
and	services	She stayed strong and brave.	She stayed strong services brave.
pearl	domain	Inside was a shiny pearl!	Inside was a shiny domain!
safari	mean	Her best friend, Samantha, presented her with a safari outfit!	Her best friend, Samantha, presented her with a mean outfit!
castle	report	Jill makes a castle with sand and sticks.	Jill makes a report with sand and sticks.
Once	marketing	Once upon a time, there was a girl named Emma.	marketing upon a time, there was a girl named Emma.
Lily	into	But Lily does not hear him.	But into does not hear him.
He	server	He was angry and sad.	server was angry and sad.
don't	dvd	I don't care.	I dvd care.
be	who	She was so happy to be there!	She was so happy to who there!
the	non	Mark was so excited to get the apple.	Mark was so excited to get non apple.
hot	million	The day was hot.	The day was million.
Max's	via	She is Max's mom.	She is via mom.
didn't	following	He didn't see the big hole near the step.	He following see the big hole near the step.
is	notes	It is fun.	It notes fun.
picture	company	They are happy with their picture.	They are happy with their company.
too	activities	But he was too scared.	But he was activities scared.
let's	united	Come on, let's go home.	Come on, united go home.
then	place	She walked for a while and then she saw something.	She walked for a while and place she saw something.
to	safety	Lily understood and agreed not to pet the puppy.	Lily understood and agreed not safety pet the puppy.
hive	across	They flew and crawled to the hive.	They flew and crawled to the across.
racers	monday	After the race, the racers went to a big structure.	After the race, the monday went to a big structure.
went	rock	So, Anne went outside and found a round wheel.	So, Anne rock outside and found a round wheel.
a	easy	It was a lion!	It was easy lion!
Give	community	Give me the wheel.	community me the wheel.
She	bill	She is selfish and does not want to share.	bill is selfish and does not want to share.
saw	fun	She saw Lily with a guilty face.	She fun Lily with a guilty face.
sorted	present	Lea carefully sorted through the laundry.	Lea carefully present through the laundry.
said	studies	Her dad beamed at her and said, â€œGood job, Lola.	Her dad beamed at her and studies, â €œGood job, Lola.
Ben	cell	Ben and Mia look at the red ball.	cell and Mia look at the red ball.
dog	performance	The dog was not nice and sometimes chased the kids.	The performance was not nice and sometimes chased the kids.
Tom	energy	Lila and Tom are friends.	Lila and energy are friends.
friends	common	The friends were really scared.	The common were really scared.
dizzy	sure	Carl left the mailman's house feeling happy and dizzy.	Carl left the mailman's house feeling happy and sure.
noise	both	The truck made a loud noise.	The truck made a loud both.
some	gay	She saw some dirt and grass stuck to the ball.	She saw gay dirt and grass stuck to the ball.
was	own	Jake was three years old.	Jake own three years old.
It	policy	It was flying so high and so fast.	policy was flying so high and so fast.
back	court	But Tweety didn't want to give the meat back.	But Tweety didn't want to give the meat court.
love	first	They love to play with the wool.	They first to play with the wool.
to	did	She wanted to see it again.	She wanted did see it again.
lived	release	And they lived happily ever after.	And they release happily ever after.
liked	needs	Ben and Mia liked to play in the park.	Ben and Mia needs to play in the park.
on	east	One day Lola decided to go on a walk.	One day Lola decided to go east a walk.
he	discount	She told him how brilliant he had been.	She told him how brilliant discount had been.
But	drive	But when they got there, it was very messy!	drive when they got there, it was very messy!
patterns	given	She loved to wear dresses with pretty patterns on them.	She loved to wear dresses with pretty given on them.
It	house	It kept jumping and nibbling at the radishes.	house kept jumping and nibbling at the radishes.
happy	systems	Everyone was happy and cheerful.	Everyone was systems and cheerful.
thunder	short	Suddenly, a clap of thunder shook the sky.	Suddenly, a clap of short shook the sky.
mom	tips	He smiled and called his mom.	He smiled and called his tips.
finally	summary	When his mommy finally came, Timmy was very excited.	When his mommy summary came, Timmy was very excited.
a	area	As they walked, they saw a big, scary bear.	As they walked, they saw area big, scary bear.
she	state	When Mary was walking back home,she suddenly heard a voice.	When Mary was walking back home, state suddenly heard a voice.
made	should	It made a cloud of dust.	It should a cloud of dust.
little	whether	It needs to change a little more.	It needs to change a whether more.
big	many	They saw a big pile of coal near the fence.	They saw a many pile of coal near the fence.
about	linux	Tom thinks about it.	Tom thinks linux it.
what	books	Jack didn't know what to do.	Jack didn't know books to do.
Lily	held	Lily was excited.	held was excited.
says	pics	He says he will get help.	He pics he will get help.
happy	keep	She was very happy because her wings were so tight.	She was very keep because her wings were so tight.
not	entertainment	It was not big anymore.	It was entertainment big anymore.
not	look	She thought mom would not notice.	She thought mom would look notice.
fighting	auto	Why are you fighting?	Why are you auto?
too	privacy	They said it was too hard.	They said it was privacy hard.
privacy	stories	You have to respect my privacy.	You have to respect my stories.
Lily's	better	It is not Lily's chalk.	It is not better chalk.
like	medical	They like their ball.	They medical their ball.
I	listings	I am a musician too.	listings am a musician too.
a	receive	She made a fake key and a real key.	She made receive fake key and receive real key.
the	february	Dolly the dough friend got warm and started to change.	Dolly february dough friend got warm and started to change.
excited	address	Everyone was excited to see it!	Everyone was address to see it!
just	party	It was just perfect.	It was party perfect.
bird	first	The bird landed on the temple roof.	The first landed on the temple roof.
join	city	He invited all his friends to join him.	He invited all his friends to city him.
him	french	She did not want to play with him.	She did not want to play with french.
was	downloads	He thought it was boring and hard.	He thought it downloads boring and hard.
learned	amount	Anna learned a lot of new words and facts.	Anna amount a lot of new words and facts.
and	function	She hugged him and scolded him.	She hugged him function scolded him.
one	drug	Then one day, something unexpected happened.	Then drug day, something unexpected happened.
fun	photos	It is fun and good for you.	It is photos and good for you.
children	make	You are good children.	You are good make.
animals	white	All the other animals welcomed her with a smile.	All the other white welcomed her with a smile.
Tim	cars	Tim and the bird were very happy on their trip.	cars and the bird were very happy on their trip.
saw	password	They saw a hose and turned it on.	They password a hose and turned it on.
And	legal	And we can give some to uncle too.	legal we can give some to uncle too.
to	comments	And they went back to playing together.	And they went back comments playing together.
was	jul	Tweet was scared of dogs.	Tweet jul scared of dogs.
sad	bit	Sammy was feeling sad.	Sammy was feeling bit.
was	local	Max was happy and took the ball to play.	Max local happy and took the ball to play.
do	makes	Millie didn't know what to do.	Millie didn't know what to makes.
rainbow	advertise	They painted a big, beautiful rainbow together.	They painted a big, beautiful advertise together.
Lily	paul	Lily nodded and smiled.	paul nodded and smiled.
head	period	Lily shook her head.	Lily shook her period.
black	john	The dog is big and black.	The dog is big and john.
them	people	Toby couldn't wait to see what was inside them.	Toby couldn't wait to see what was inside people.
mouse	english	Once upon a time, there was a tiny mouse.	Once upon a time, there was a tiny english.
last	road	At last, they succeed!	At road, they succeed!
but	because	Alvin tasted it anyway, but it was disgusting!	Alvin tasted it anyway, because it was disgusting!
walked	land	John walked into his bedroom.	John land into his bedroom.
are	chat	Ben and Mia are twins.	Ben and Mia chat twins.
You	little	You are very smart and cheerful.	little are very smart and cheerful.
and	beach	She saw the fire and grabbed a bucket of water.	She saw the fire beach grabbed a bucket of water.
Bella	search	Tommy looked at Bella.	Tommy looked at search.
as	mar	But as she says it, she starts to giggle.	But mar she says it, she starts to giggle.
was	under	The bird was scared and hurt.	The bird under scared and hurt.
learn	well	History is a story you can learn.	History is a story you can well.
a	together	Once upon a time there was a rat.	Once upon together time there was together rat.
him	cart	She helps him rebuild his tower.	She helps cart rebuild his tower.
broken	usually	He saw that his tent was broken!	He saw that his tent was usually!
was	texas	He thought it was great fun.	He thought it texas great fun.
smiled	you	Lily smiled and petted Mittens.	Lily you and petted Mittens.
They	month	They called it their secret place.	month called it their secret place.
pushed	stock	She pulled it and pushed it, laughing and shouting.	She pulled it and stock it, laughing and shouting.
shiny	never	It hopped around, feeling so shiny and full of energy.	It hopped around, feeling so never and full of energy.
stones	printer	John and Rover collected stones and shells.	John and Rover collected printer and shells.
sad	york	They are very sad.	They are very york.
dirt	listing	They pat the dirt with their hands.	They pat the listing with their hands.
fast	brand	It is fun and fast.	It is fun and brand.
Ben	river	She sees Anna and Ben.	She sees Anna and river.
be	loss	He knew the bird would be scared too.	He knew the bird would loss scared too.
dog	image	You are a good dog.	You are a good image.
lots	data	They played fetch together and had lots of fun.	They played fetch together and had data of fun.
hurt	over	Tom is hurt.	Tom is over.
bird	write	One day, he saw a bird flying outside his cave.	One day, he saw a write flying outside his cave.
happy	health	Tom was happy and ran after the rabbit.	Tom was health and ran after the rabbit.
was	study	It was so pretty!	It study so pretty!
got	treatment	When they got to the ocean, Ollie saw something incredible.	When they treatment to the ocean, Ollie saw something incredible.
moment	unit	The bear thought for a moment.	The bear thought for a unit.
there	set	Once upon a time, there was a boy named Timmy.	Once upon a time, set was a boy named Timmy.
Every	enough	Every night, it glowed more and more.	enough night, it glowed more and more.
They	event	They hold hands.	event hold hands.
The	rates	The noise is from a car.	rates noise is from a car.
and	others	One day, they have a show and tell.	One day, they have a show others tell.
liked	taken	Will liked to collect sticks.	Will taken to collect sticks.
happy	movie	She was so happy!	She was so movie!
she	love	She worked and worked until she was finished.	She worked and worked until love was finished.
dad	january	So she asked her dad if she could keep it.	So she asked her january if she could keep it.
for	limited	One day, Lily went for a walk in the park.	One day, Lily went limited a walk in the park.
me	able	Please put me in my box.	Please put able in my box.
This	specific	This made them unique and very important.	specific made them unique and very important.
the	often	He jumps on the chair.	He jumps on often chair.
again	other	Lily and Sam never saw each other again.	Lily and Sam never saw each other other.
It	use	It has a white frosting.	use has a white frosting.
for	chapter	They wanted to eat turkey for dinner.	They wanted to eat turkey chapter dinner.
what	friday	They wanted to see what was behind the door.	They wanted to see friday was behind the door.
ask	term	So, Amy decided to ask her mom.	So, Amy decided to term her mom.
wonderful	pics	It felt wonderful.	It felt pics.
and	status	She grabbed some of them and closed the chest.	She grabbed some of them status closed the chest.
teach	doing	She decided to teach them a lesson.	She decided to doing them a lesson.
Jane	given	Jane stopped and watched them fight.	given stopped and watched them fight.
always	save	He was always trying to be the best at everything.	He was save trying to be the best at everything.
Lily	phone	Lily and Ben were playing in the garden.	phone and Ben were playing in the garden.
joins	needs	She joins Lila and Tom in the port.	She needs Lila and Tom in the port.
used	bay	The dog used the stick to reach the ball.	The dog bay the stick to reach the ball.
broken	not	He was bleeding and broken.	He was bleeding and not.
tree	hours	It grew so much that it became a big tree.	It grew so much that it became a big hours.
a	figure	Once there was a yellow pistol.	Once there was figure yellow pistol.
a	listed	After a few hours, John's dad finally fixed the leak.	After listed few hours, John's dad finally fixed the leak.
is	act	But it is too late.	But it act too late.
She	overall	She hugs it.	overall hugs it.
and	american	Tom and Lily were friends.	Tom american Lily were friends.
ladder	software	He climbs up the ladder and slides down.	He climbs up the software and slides down.
on	memory	She cried on her bed.	She cried memory her bed.
before	cart	The tree looked the same as before.	The tree looked the same as cart.
dream	arts	That night, Tim had a dream.	That night, Tim had a arts.
to	address	It started to shake and roar.	It started address shake and roar.
The	minutes	The sun was shining bright in the sky.	minutes sun was shining bright in the sky.
They	there	They ran to the slide and waited for their turn.	there ran to the slide and waited for their turn.
They	man	They saw a man who worked in the park.	man saw a man who worked in the park.
rocks	copyright	He dodged the sticks and the rocks.	He dodged the sticks and the copyright.
played	specific	Lily was happy and played with it all day.	Lily was happy and specific with it all day.
She	site	She scolded them and took away all their toys.	site scolded them and took away all their toys.
fun	say	Bobo was always ready to play and have fun.	Bobo was always ready to play and have say.
on	newsletter	They both pulled and tugged on the shell.	They both pulled and tugged newsletter the shell.
pulled	arts	She pulled and pulled.	She arts and arts.
pick	received	They both had to pick an object.	They both had to received an object.
for	play	He thought it was perfect for him.	He thought it was perfect play him.
It	groups	It broke into pieces.	groups broke into pieces.
thought	example	He thought and thought.	He example and example.
sees	believe	Her mom sees the cookie.	Her mom believe the cookie.
a	including	One day, she met a friendly hippo.	One day, she met including friendly hippo.
They	return	They smile and go back to the camera.	return smile and go back to the camera.
shoes	listings	Balls, shoes, nets, cones, jerseys, and more.	Balls, listings, nets, cones, jerseys, and more.
melted	will	Slowly, the ice melted more and more.	Slowly, the ice will more and more.
to	can	He was starting to feel scared.	He was starting can feel scared.
alligator	stores	It was an alligator!	It was an stores!
not	games	It could not hold them.	It could games hold them.
bird	great	You are an ancient bird.	You are an ancient great.
anymore	official	It couldn't fly or run anymore.	It couldn't fly or run official.
They	these	They press the cookie cutters into the rice.	these press the cookie cutters into the rice.
Her	land	Her mom still asked her to clean.	land mom still asked her to clean.
She	printer	She went inside and found some crackers and cheese.	printer went inside and found some crackers and cheese.
swept	regional	First they swept the floors, then they washed the walls.	First they regional the floors, then they washed the walls.
else	job	He did not need anyone else.	He did not need anyone job.
for	base	They watched the leopard for a while.	They watched the leopard base a while.
They	school	They do not understand.	school do not understand.
too	least	He kept counting until he was too tired.	He kept counting until he was least tired.
ran	build	They ran and hit the ball with all their might.	They build and hit the ball with all their might.
saw	hotels	Her big sister came and saw what happened.	Her big sister came and hotels what happened.
forget	email	They forget about their dogs.	They email about their dogs.
loved	present	Tim loved to play catch with his red ball.	Tim present to play catch with his red ball.
wait	forum	They can't wait.	They can't forum.
there	university	Once there was a little girl named Sally.	Once university was a little girl named Sally.
Now	united	Now let's try to nap again.	united let's try to nap again.
bike	daily	His Dad told Bobby to drive the bike.	His Dad told Bobby to drive the daily.
the	terms	The frog and the bird played a game.	The frog and terms bird played a game.
and	search	Mia heard Sam's cry and stopped her bike.	Mia heard Sam's cry search stopped her bike.
an	growth	Donna saw an old lady at the ticket counter.	Donna saw growth old lady at the ticket counter.
man	from	A man came running.	A from came running.
the	africa	She wants to finish the puzzle.	She wants to finish africa puzzle.
very	next	They seemed very happy.	They seemed next happy.
They	learning	They took turns with the coin and enjoyed it together.	learning took turns with the coin and enjoyed it together.
cold	movies	It was so cold that she shivered.	It was so movies that she shivered.
a	lines	It is called a potato.	It is called lines potato.
Sarah	companies	So Sarah and her mum started to plan the party.	So companies and her mum started to plan the party.
scares	known	A loud noise scares the dog.	A loud noise known the dog.
thought	given	He thought that maybe a nice walk would help.	He given that maybe a nice walk would help.
outside	air	He quickly ran back outside and found a puddle.	He quickly ran back air and found a puddle.
up	again	Anna agreed and helped him climb up.	Anna agreed and helped him climb again.
Tom	through	She gives Tom and Sue a slice each.	She gives through and Sue a slice each.
eyes	china	Lily and Tom nodded and closed their eyes.	Lily and Tom nodded and closed their china.
very	was	One day, the car got very tired.	One day, the car got was tired.
car	details	Anna has a doll and Ben has a car.	Anna has a doll and Ben has a details.
dog	soon	The dog was black and had sharp teeth.	The soon was black and had sharp teeth.
boy	shoes	Mommy handed the little boy some items from the basket.	Mommy handed the little shoes some items from the basket.
Tom	window	Tom was scared.	window was scared.
somewhere	pics	Maybe she is hiding somewhere.	Maybe she is hiding pics.
brilliant	type	But then he had a brilliant idea.	But then he had a type idea.
and	news	They were round blocks and square blocks.	They were round blocks news square blocks.
likes	french	Tom likes to move.	Tom french to move.
mommy	after	She loved to help her mommy in the kitchen.	She loved to help her after in the kitchen.
forget	gallery	She would never forget this magical day.	She would never gallery this magical day.
and	february	Lily was thirsty and wanted some water.	Lily was thirsty february wanted some water.
gave	summary	Her mom gave them a bath.	Her mom summary them a bath.
bird	help	The bird was gone.	The help was gone.
boy	basic	Once there was a boy named Tim.	Once there was a basic named Tim.
she	had	One day, she was playing hide-and-seek with her friend, Timmy.	One day, had was playing hide-and-seek with her friend, Timmy.
She	adult	She wished they had not forgotten.	adult wished they had not forgotten.
by	overall	He grabbed Tom by the hair.	He grabbed Tom overall the hair.
She	july	She was going to water the flowers.	july was going to water the flowers.
day	plan	He loved the weird dictionary and used it every day!	He loved the weird dictionary and used it every plan!
saw	monday	She saw their sad faces.	She monday their sad faces.
did	tools	He did not know what to do.	He tools not know what to do.
smiled	given	The bear was friendly and smiled at her.	The bear was friendly and given at her.
man	into	Lily did not like the man.	Lily did not like the into.
laughed	individual	They laughed and took turns talking into the bell.	They individual and took turns talking into the bell.
it	sep	I want to wear it in bed.	I want to wear sep in bed.
It	bad	It was clean and shiny.	bad was clean and shiny.
a	electronic	She went to a nearby garden and found a game.	She went to electronic nearby garden and found electronic game.
all	storage	They played with the copper pot all day long.	They played with the copper pot storage day long.
are	held	Lily and Tom are twins.	Lily and Tom held twins.
They	much	They liked to play and hug and tell jokes.	much liked to play and hug and tell jokes.
it	she	The fish could not fly, but it could swim.	The fish could not fly, but she could swim.
named	said	He saw a little mouse named Molly.	He saw a little mouse said Molly.
enough	august	Soon enough, Mia felt a calmness come over her.	Soon august, Mia felt a calmness come over her.
away	problem	He jumps off the fence and runs away.	He jumps off the fence and runs problem.
of	posted	It was a big bottle of wine.	It was a big bottle posted wine.
for	michael	He played a thank you song for the cat.	He played a thank you song michael the cat.
you	policies	We can teach you how to build a heart.	We can teach policies how to build a heart.
it	html	But he was warned not to eat it.	But he was warned not to eat html.
had	try	Lily had an idea.	Lily try an idea.
was	list	He was happy.	He list happy.
her	sex	She loved to play outside with her toys.	She loved to play outside with sex toys.
Jake	advertise	So Jake started to jog again.	So advertise started to jog again.
gave	parts	She removed them and gave them to Ben.	She removed them and parts them to Ben.
sad	baby	They felt sad.	They felt baby.
Suddenly	institute	Suddenly, he realized why.	institute, he realized why.
Lily	windows	It showed Lily a different image of herself.	It showed windows a different image of herself.
you	digital	And you have to wait for dinner.	And digital have to wait for dinner.
different	item	Today was different though.	Today was item though.
with	discount	And you have to be careful with them.	And you have to be careful discount them.
to	original	She bent down and tried to open the oyster.	She bent down and tried original open the oyster.
helped	dec	They helped to load the branches.	They dec to load the branches.
as	include	Mommy watched over John as he slept, feeling very content.	Mommy watched over John include he slept, feeling very content.
gave	color	Then, he gave Lila and Ben their toys back.	Then, he color Lila and Ben their toys back.
was	computers	But the hill was very steep.	But the hill computers very steep.
so	shipping	The creature was so happy!	The creature was shipping happy!
a	press	Once upon a time, there was a boy named Timmy.	Once upon press time, there was press boy named Timmy.
the	college	They take turns driving the train.	They take turns driving college train.
He	property	He was proud.	property was proud.
in	line	They talked and played together every day in the room.	They talked and played together every day line the room.
to	bad	They go back to their regular animals.	They go back bad their regular animals.
it	act	He did not like it.	He did not like act.
and	far	He looked scary and mean.	He looked scary far mean.
thank	photo	Thank you, thank you!	Thank you, photo you!
the	topics	Now it was easier to fit the pieces together.	Now it was easier to fit topics pieces together.
winter	john	He couldn't wait for the next winter adventure.	He couldn't wait for the next john adventure.
they	once	He thinks they are toys.	He thinks once are toys.
to	jobs	Sam kicks the ball to Ben.	Sam kicks the ball jobs Ben.
His	summary	His mom smiled.	summary mom smiled.
They	person	They were so pretty.	person were so pretty.
chair	oil	She sees Tom on the chair.	She sees Tom on the oil.
seek	see	One day, they were playing hide and seek.	One day, they were playing hide and see.
honey	finance	I love honey.	I love finance.
Mommy	kids	Mommy was in the car with her little girl, Emily.	kids was in the car with her little girl, Emily.
strong	agency	They will make you healthy and strong.	They will make you healthy and agency.
happy	through	They were all excited and happy.	They were all excited and through.
loved	town	Molly loved to draw!	Molly town to draw!
Sue	mail	Sue had a mysterious itch on her arm.	mail had a mysterious itch on her arm.
Tommy	order	She held Tommy in her arms and prayed.	She held order in her arms and prayed.
delicious	microsoft	It looked delicious.	It looked microsoft.
When	review	When she looked closer, she saw it was a picture!	review she looked closer, she saw it was a picture!
mysteries	program	They wondered what other mysteries the box had.	They wondered what other program the box had.
their	small	Timmy and his mom went back to their house.	Timmy and his mom went back to small house.
and	need	They are happy and full.	They are happy need full.
and	chat	She remembered this day and smiled.	She remembered this day chat smiled.
Mum	result	Mum and Dad were very proud of Daisy.	result and Dad were very proud of Daisy.
plan	growth	She had a plan.	She had a growth.
much	available	He had so much fun!	He had so available fun!
Sam	people	Jack and Sam were so sad.	Jack and people were so sad.
at	council	They look at each other and sigh.	They look council each other and sigh.
over	tickets	Lily said, running over to him.	Lily said, running tickets to him.
was	someone	Once upon a time, there was a family of four.	Once upon a time, there someone a family of four.
his	everything	He does not like his hair.	He does not like everything hair.
worked	adult	The plan worked.	The plan adult.
ashamed	government	Tim felt ashamed.	Tim felt government.
happy	reading	She was so happy.	She was so reading.
She	notice	She had a skull that she always carried around.	notice had a skull that she always carried around.
happy	messages	The bird and the mouse were happy.	The bird and the mouse were messages.
loved	those	Molly loved it!	Molly those it!
felt	terms	Ben felt cold and mad.	Ben terms cold and mad.
big	treatment	The store is big and open.	The store is treatment and open.
not	game	But it did not.	But it did game.
the	should	Suddenly, a sound came from inside the volcano.	Suddenly, a sound came from inside should volcano.
was	others	Sam was always obedient and Jack was not.	Sam others always obedient and Jack others not.
ours	purchase	They are ours!	They are purchase!
line	them	She makes a line and a slash.	She makes a them and a slash.
They	some	They make new friends.	some make new friends.
bowls	training	They used pots and pans and spoons and bowls.	They used pots and pans and spoons and training.
The	security	The dog is big and strong.	security dog is big and strong.
together	lines	They cuddle together and pretend to sleep.	They cuddle lines and pretend to sleep.
the	employment	He felt it throughout the temple.	He felt it throughout employment temple.
That's	american	That's my orange.	american my orange.
saw	american	They never saw the mushroom or the squirrel again.	They never american the mushroom or the squirrel again.
ran	really	Molly and Sarah ran back inside.	Molly and Sarah really back inside.
and	world	Timmy was scared and held onto his mom's hand tightly.	Timmy was scared world held onto his mom's hand tightly.
smiled	could	The boy noticed the yellow bear and smiled.	The boy noticed the yellow bear and could.
soon	side	She worked so hard that soon the winter became warmer.	She worked so hard that side the winter became warmer.
big	news	It made a big splash as it hit the water.	It made a news splash as it hit the water.
does	wide	Anna does not care.	Anna wide not care.
But	given	But Jill said no, and they started to quarrel.	given Jill said no, and they started to quarrel.
sky	feel	The sky was very dark.	The feel was very dark.
my	notes	You can play with my clothes.	You can play with notes clothes.
on	press	Tom put them on first.	Tom put them press first.
They	listing	They hopped and skipped and tickled each other.	listing hopped and skipped and tickled each other.
still	means	She tried harder, but still nothing.	She tried harder, but means nothing.
the	drive	He sits on the slide.	He sits on drive slide.
He	interest	He saw a big tiger there.	interest saw a big tiger there.
He	hotel	He asked, with a twinkle in his eye.	hotel asked, with a twinkle in his eye.
together	address	Yes, we can finish the puzzle together.	Yes, we can finish the puzzle address.
good	unit	One day, Anna has a good idea.	One day, Anna has a unit idea.
enjoyed	auto	They all sat down and enjoyed their picnic together.	They all sat down and auto their picnic together.
walked	parts	He walked away.	He parts away.
them	industry	She gave them both a hug and a sandwich.	She gave industry both a hug and a sandwich.
safe	treatment	They were safe.	They were treatment.
on	edition	One day, children went on a safari.	One day, children went edition a safari.
and	much	He sees the cars and the bikes.	He sees the cars much the bikes.
It	head	It was so cool!	head was so cool!
Max's	html	The cat was safe and Max's owner was very happy.	The cat was safe and html owner was very happy.
about	costs	They forget about the remote.	They forget costs the remote.
big	power	It was big enough for two.	It was power enough for two.
ball	practice	They only had their ball.	They only had their practice.
seen	url	She had never seen anything like it before!	She had never url anything like it before!
by	easy	You can help us by being good and by praying.	You can help us easy being good and easy praying.
their	legal	They ask their mom.	They ask legal mom.
her	class	She went to her mom and told her the plan.	She went to class mom and told class the plan.
the	test	Bear smiled and waved goodbye to the deer.	Bear smiled and waved goodbye to test deer.
nice	set	Ravens are nice birds.	Ravens are set birds.
very	entertainment	He felt very proud of himself.	He felt entertainment proud of himself.
not	face	They are not friends.	They are face friends.
lots	audio	He would pass by lots of houses.	He would pass by audio of houses.
Timmy	file	It was very painful and Timmy started to cry.	It was very painful and file started to cry.
having	any	Everybody was eating and having a good time.	Everybody was eating and any a good time.
laughed	play	The girl laughed and smiled.	The girl play and smiled.
and	loans	Lily's mom came over and saw what happened.	Lily's mom came over loans saw what happened.
mailbox	pages	As he walked to the mailbox, he felt something strange.	As he walked to the pages, he felt something strange.
Anna	position	Anna was excited.	position was excited.
happy	movie	He was happy.	He was movie.
Jake	committee	They hoped Jake would forgive them.	They hoped committee would forgive them.
his	travel	Timmy loved to sing and talk into his microphone.	Timmy loved to sing and talk into travel microphone.
sad	district	She was very sad.	She was very district.
not	march	You will not whistle.	You will march whistle.
were	three	The poor rabbits were trapped in the rough cage.	The poor rabbits three trapped in the rough cage.
what	anything	They were friendly and asked her what her name was.	They were friendly and asked her anything her name was.
was	western	Once, there was a little bird.	Once, there western a little bird.
One	air	One day, Anna decided to make a tunnel cake.	air day, Anna decided to make a tunnel cake.
made	class	It was made of plastic.	It was class of plastic.
dove	cars	He wanted to release the dove.	He wanted to release the cars.
that	just	My dad has one like that.	My dad has one like just.
it	account	He put it under the chimney.	He put account under the chimney.
he	google	Every time he shopped, he found something new and special.	Every time google shopped, google found something new and special.
wanted	been	The car driver wanted to take a look at it.	The car driver been to take a look at it.
worried	movies	The girl was worried, but her dad wasn't worried.	The girl was movies, but her dad wasn't movies.
bad	pictures	Some mushrooms are good, but some are bad.	Some mushrooms are good, but some are pictures.
came	regional	They all came running and were very excited.	They all regional running and were very excited.
laugh	password	They liked to run and jump and laugh.	They liked to run and jump and password.
